country,country_code,year,gdp_per_capita_constant_2015_usd,life_expectancy,log_gdp_per_capita,population,region,income_group,log_gdp_pc
Chile,CHL,2024,14579.4001071307,81.359,9.58736485980058,19764771.0,Latin America & Caribbean ,High income,9.58736485980058
China,CHN,2024,13121.6769905565,78.017,9.48202087373205,1408975000.0,East Asia & Pacific,Upper middle income,9.48202087373205
Colombia,COL,2024,6863.59563194342,77.913,8.8339867280023,52886363.0,Latin America & Caribbean ,Upper middle income,8.8339867280023
Comoros,COM,2024,1401.88898411553,67.023,7.2455758805189,866628.0,Sub-Saharan Africa ,Lower middle income,7.2455758805189
"Congo, Dem. Rep.",COD,2024,554.244129980766,62.074,6.31760525751705,109276265.0,Sub-Saharan Africa ,Low income,6.31760525751705
"Congo, Rep.",COG,2024,1679.58061097707,66.001,7.4262994049098,6332961.0,Sub-Saharan Africa ,Lower middle income,7.4262994049098
Costa Rica,CRI,2024,14866.5823676109,80.996,9.6068711789839,5129910.0,Latin America & Caribbean ,High income,9.6068711789839
Cote d'Ivoire,CIV,2024,2395.67689089222,62.11,7.78142109659096,31934230.0,Sub-Saharan Africa ,Lower middle income,7.78142109659096
Croatia,HRV,2024,17854.2091012685,78.9292682926829,9.78999456340303,3866200.0,Europe & Central Asia,High income,9.78999456340303
Cuba,CUB,2024,7381.39774048869,78.264,8.90671829539159,10979783.0,Latin America & Caribbean ,Upper middle income,8.90671829539159
Curacao,CUW,2024,18044.7751865648,76.989,9.80061145851021,155967.0,Latin America & Caribbean ,High income,9.80061145851021
Cyprus,CYP,2024,32617.216796875,81.821,10.3925955505507,1358282.0,Europe & Central Asia,High income,10.3925955505507
Czechia,CZE,2024,20445.432830127,79.9780487804878,9.92551480303819,10905028.0,Europe & Central Asia,High income,9.92551480303819
Denmark,DNK,2024,60772.8624276041,82.2536585365854,11.0148986266629,5976992.0,Europe & Central Asia,High income,11.0148986266629
Djibouti,DJI,2024,3290.42482052598,66.202,8.09877196020346,1168722.0,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,8.09877196020346
Dominica,DMA,2024,9172.71049624795,71.294,9.1239881045895,66205.0,Latin America & Caribbean ,Upper middle income,9.1239881045895
Dominican Republic,DOM,2024,9168.45418897141,73.868,9.12352397840929,11427557.0,Latin America & Caribbean ,Upper middle income,9.12352397840929
Ecuador,ECU,2024,5999.39391066593,77.579,8.69941372821883,18135478.0,Latin America & Caribbean ,Upper middle income,8.69941372821883
"Egypt, Arab Rep.",EGY,2024,4137.60929232898,71.806,8.32787343440085,116538258.0,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,8.32787343440085
