"state","state_fips","year","income_pc_thousand","gdp_pc_thousand","unemployment_rate","population"
"New Hampshire",33,2018,60.847,60.1408534102564,2.63333333333333,1367947
"New Hampshire",33,2019,64.115,61.3973205358928,2.55,1375275
"New Hampshire",33,2020,68.326,60.5300827992168,6.75,1382501
"New Hampshire",33,2021,74.798,64.9000229997413,3.45833333333333,1391320
"New Hampshire",33,2022,77.072,65.5608325534609,2.425,1398733
"New Hampshire",33,2023,80.835,66.6793409378961,2.26666666666667,1404420
"New Hampshire",33,2024,84.218,67.2555286402446,2.58333333333333,1411423
"New Jersey",34,2015,58.723,63.9033270974048,5.69166666666667,9098351
"New Jersey",34,2016,60.333,64.1839774712539,4.93333333333333,9146359
"New Jersey",34,2017,62.683,64.16450623533,4.51666666666667,9196466
"New Jersey",34,2018,65.121,65.694475520456,4.01666666666667,9238101
"New Jersey",34,2019,67.822,66.6839693264368,3.45833333333333,9277957
"New Jersey",34,2020,71.233,64.5501013959005,9.48333333333333,9271578
"New Jersey",34,2021,75.875,68.0154963158533,6.7,9279625
"New Jersey",34,2022,78.757,69.4586102074465,3.86666666666667,9336674
"New Jersey",34,2023,82.626,70.1688397723094,4.3,9438949
"New Jersey",34,2024,85.859,70.9631792289123,4.64166666666667,9524624
"New Mexico",35,2015,37.964,44.5627173831195,6.60833333333333,2098254
"New Mexico",35,2016,38.635,44.2810618488552,6.78333333333333,2101203
"New Mexico",35,2017,39.594,44.3260694645496,6.11666666666667,2102828
"New Mexico",35,2018,41.543,45.605146213487,4.93333333333333,2106714
"New Mexico",35,2019,43.771,47.4496266627575,4.96666666666667,2114710
"New Mexico",35,2020,45.934,46.2550294391807,7.925,2118775
"New Mexico",35,2021,50.15,47.9661257242233,7.08333333333333,2116060
"New Mexico",35,2022,53.948,49.2520003213747,4.06666666666667,2115910
"New Mexico",35,2023,56.297,53.7304433193079,3.65833333333333,2122804
"New Mexico",35,2024,59.296,55.9660286260305,4.09166666666667,2127085
"New York",36,2015,57.015,77.8391951355623,5.21666666666667,20116282
"New York",36,2016,59.298,78.8551835839479,4.875,20170745
"New York",36,2017,63.783,80.4080648145733,4.64166666666667,20206937
"New York",36,2018,64.953,82.3248256256689,4.1,20227031
"New York",36,2019,66.981,84.2917433756227,3.89166666666667,20219825
"New York",36,2020,70.178,83.2777127877971,9.90833333333333,20020180
"New York",36,2021,75.763,88.4471628414956,7.05,19792056
"New York",36,2022,79.238,90.2301926937288,4.275,19744545
"New York",36,2023,82.762,90.2500744793491,4.025,19871280
"New York",36,2024,86.073,91.9694191543635,4.15,20007295
"North Carolina",37,2015,41.957,52.4875543833674,5.65833333333333,10006736
"North Carolina",37,2016,43.102,53.0282947891405,5.1,10113629
"North Carolina",37,2017,44.858,53.535987649746,4.55,10213879
"North Carolina",37,2018,46.928,53.9677006569031,4.00833333333333,10313089
"North Carolina",37,2019,48.915,54.5617451919668,3.875,10409766
"North Carolina",37,2020,51.874,53.7595003217784,7.325,10496355
"North Carolina",37,2021,57.177,56.4335421543523,4.84166666666667,10619461
"North Carolina",37,2022,60.259,57.6276123118982,3.675,10770297
"North Carolina",37,2023,63.294,58.7709538257714,3.475,10941558
"North Carolina",37,2024,66.637,59.7800547905255,3.64166666666667,11109585
"North Dakota",38,2015,52.475,76.8517172796395,2.775,763737
"North Dakota",38,2016,51.458,71.5038451141781,3.01666666666667,765777
"North Dakota",38,2017,52.15,73.532445605304,2.6,768779
"North Dakota",38,2018,56.844,75.6408930621193,2.39166666666667,773608
"North Dakota",38,2019,57.212,76.3508242524409,2.15,778099
"North Dakota",38,2020,61.047,72.6453669692979,5.00833333333333,779166
"North Dakota",38,2021,65.139,73.6312410209796,3.1,778899
"North Dakota",38,2022,72.087,72.8430730166515,2.125,782931
"North Dakota",38,2023,71.698,78.6702180207154,2.06666666666667,789558
"North Dakota",38,2024,72.538,79.628338089691,2.4,795777
"Ohio",39,2015,44.24,54.179517667606,4.95833333333333,11688454
"Ohio",39,2016,45.018,54.4512557131977,5.05833333333333,11719794
"Ohio",39,2017,46.701,55.4991315861806,4.93333333333333,11751310
"Ohio",39,2018,48.542,55.7224282408534,4.475,11776443
"Ohio",39,2019,49.907,57.1288378104169,4.125,11799013
"Ohio",39,2020,53.042,55.6291918281694,8.25833333333333,11787518
"Ohio",39,2021,56.811,58.7910830138117,5.25833333333333,11764199
"Ohio",39,2022,59.374,58.935913543771,3.96666666666667,11783535
"Ohio",39,2023,62.868,59.8466682935806,3.66666666666667,11830169
