"age","female","employed","bachelor","personal_income","high_income","ln_age"
46,0,0,0,0,0,3.8286413964891
31,0,1,0,55000,0,3.43398720448515
41,0,0,0,6000,0,3.71357206670431
52,1,0,0,0,0,3.95124371858143
56,0,0,0,12000,0,4.02535169073515
50,0,0,0,0,0,3.91202300542815
40,0,0,0,0,0,3.68887945411394
33,0,0,0,17300,0,3.49650756146648
50,0,0,0,0,0,3.91202300542815
60,0,0,0,0,0,4.0943445622221
56,0,0,0,0,0,4.02535169073515
44,0,1,1,122400,1,3.78418963391826
58,1,1,0,35000,0,4.06044301054642
31,0,0,0,0,0,3.43398720448515
25,0,0,0,0,0,3.2188758248682
42,0,0,0,0,0,3.73766961828337
31,0,0,0,0,0,3.43398720448515
38,0,0,0,0,0,3.63758615972639
34,1,0,0,80000,0,3.52636052461616
25,0,0,0,39900,0,3.2188758248682
44,0,0,0,0,0,3.78418963391826
58,0,0,0,2700,0,4.06044301054642
57,0,0,0,690,0,4.04305126783455
34,0,0,0,0,0,3.52636052461616
63,1,0,0,12500,0,4.14313472639153
62,0,0,1,0,0,4.12713438504509
29,0,1,0,1000,0,3.36729582998647
39,0,0,0,1200,0,3.66356164612965
41,0,0,0,0,0,3.71357206670431
30,0,0,0,0,0,3.40119738166216
61,0,0,0,6000,0,4.11087386417331
63,1,0,0,0,0,4.14313472639153
50,1,0,0,0,0,3.91202300542815
31,0,0,0,21800,0,3.43398720448515
28,0,1,1,38000,0,3.3322045101752
58,0,0,0,0,0,4.06044301054642
57,1,0,0,31100,0,4.04305126783455
28,0,0,0,2700,0,3.3322045101752
45,0,0,0,25000,0,3.80666248977032
30,0,0,0,17900,0,3.40119738166216
32,0,0,0,0,0,3.46573590279973
52,0,0,0,0,0,3.95124371858143
43,0,0,0,0,0,3.76120011569356
27,1,0,0,0,0,3.29583686600433
31,1,1,1,29000,0,3.43398720448515
28,0,1,0,17100,0,3.3322045101752
38,0,0,0,2400,0,3.63758615972639
26,0,1,1,50000,0,3.25809653802148
51,0,0,0,35000,0,3.93182563272433
56,1,0,0,18000,0,4.02535169073515
52,1,0,0,0,0,3.95124371858143
29,0,0,0,0,0,3.36729582998647
38,0,0,1,145000,1,3.63758615972639
45,0,0,0,3600,0,3.80666248977032
49,1,0,0,20000,0,3.89182029811063
46,1,0,1,2000,0,3.8286413964891
60,0,0,0,11800,0,4.0943445622221
43,1,0,0,0,0,3.76120011569356
40,0,0,0,18000,0,3.68887945411394
46,1,0,1,2000,0,3.8286413964891
32,0,0,0,0,0,3.46573590279973
47,0,1,1,101000,1,3.85014760171006
27,0,0,0,28000,0,3.29583686600433
36,0,0,0,0,0,3.58351893845611
44,0,1,0,15200,0,3.78418963391826
49,0,0,0,1300,0,3.89182029811063
40,0,0,0,84000,0,3.68887945411394
49,0,0,0,0,0,3.89182029811063
